target_0,target_1,agent_H_NH,tool_mediated,transitivity,touch_2
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.04426784968642053,0.04426784968642053,0.0,0.0,0.0
7,0.0,0.4879095679700409,0.4879095679700409,0.0,0.0,0.0
8,0.04426784968642053,0.8624538712633025,0.8624538712633025,0.0,0.04426784968642053,0.04426784968642053
9,0.4879095679700409,0.9330178606293357,0.9772857103157561,0.0,0.4879095679700409,0.4879095679700409
10,0.8624538712633025,0.5095865196534273,0.9974960876234682,0.0,0.8624538712633025,0.8624538712633025
11,0.9772857103157561,0.13754612873669736,1.0,0.04426784968642053,0.9772857103157561,0.9772857103157561
12,0.9532282379370476,0.022714289684243855,1.0,0.4436417182836204,0.9974960876234682,0.9974960876234682
13,0.5120904320299591,0.002503912376531775,1.0,0.37454430329326166,1.0,1.0
14,0.13754612873669736,0.0,0.9557321503135794,0.11483183905245352,0.9557321503135794,0.9557321503135794
15,0.022714289684243855,0.0,0.5120904320299591,0.020210377307712083,0.5120904320299591,0.5120904320299591
16,0.002503912376531775,0.0,0.13754612873669736,0.002503912376531775,0.13754612873669736,0.13754612873669736
17,0.0,0.04426784968642053,0.022714289684243855,0.0,0.022714289684243855,0.022714289684243855
18,0.0,0.4879095679700409,0.002503912376531775,0.0,0.002503912376531775,0.002503912376531775
19,0.04426784968642053,0.8624538712633025,0.0,0.0,0.04426784968642053,0.04426784968642053
20,0.4879095679700409,0.9330178606293357,0.0,0.0,0.4879095679700409,0.4879095679700409
21,0.8624538712633025,0.5095865196534273,0.0,0.0,0.8624538712633025,0.8624538712633025
22,0.9772857103157561,0.13754612873669736,0.0,0.0,0.9772857103157561,0.9772857103157561
23,0.9974960876234682,0.022714289684243855,0.0,0.0,0.9974960876234682,0.9974960876234682
24,1.0,0.002503912376531775,0.0,0.0,1.0,1.0
25,1.0,0.04426784968642053,0.0,0.0,1.0,1.0
26,1.0,0.4436417182836204,0.0,0.0,1.0,1.0
27,1.0,0.37454430329326166,0.0,0.0,1.0,1.0
28,1.0,0.11483183905245352,0.0,0.0,1.0,1.0
29,1.0,0.020210377307712083,0.0,0.0,1.0,1.0
30,0.9557321503135794,0.002503912376531775,0.0,0.0,0.9557321503135794,0.9557321503135794
31,0.5120904320299591,0.0,0.0,0.0,0.5120904320299591,0.5120904320299591
32,0.13754612873669736,0.0,0.0,0.0,0.13754612873669736,0.13754612873669736
33,0.022714289684243855,0.04426784968642053,0.04426784968642053,0.0,0.022714289684243855,0.022714289684243855
34,0.002503912376531775,0.4879095679700409,0.4879095679700409,0.0,0.002503912376531775,0.002503912376531775
35,0.0,0.8624538712633025,0.8624538712633025,0.0,0.0,0.0
36,0.04426784968642053,0.9772857103157561,0.9772857103157561,0.0,0.04426784968642053,0.04426784968642053
37,0.4879095679700409,0.9532282379370476,0.9532282379370476,0.0,0.4879095679700409,0.4879095679700409
38,0.8181860215768821,0.5120904320299591,0.5120904320299591,0.0,0.8181860215768821,0.8181860215768821
39,0.4893761423457152,0.18181397842311792,0.13754612873669736,0.0,0.4893761423457152,0.4893761423457152
40,0.13504221636016558,0.5106238576542848,0.022714289684243855,0.0,0.13504221636016558,0.13504221636016558
41,0.06698213937066438,0.8649577836398342,0.002503912376531775,0.0,0.06698213937066438,0.06698213937066438
42,0.4904134803465727,0.9330178606293357,0.0,0.0,0.4904134803465727,0.4904134803465727
43,0.8624538712633025,0.5095865196534273,0.0,0.0,0.8624538712633025,0.8624538712633025
44,0.9772857103157561,0.18181397842311792,0.0,0.0,0.9772857103157561,0.9772857103157561
45,0.9532282379370476,0.5106238576542848,0.0,0.0,0.9532282379370476,0.9532282379370476
46,0.5563582817163796,0.8649577836398342,0.0,0.0,0.5563582817163796,0.5563582817163796
47,0.6254556967067383,0.9330178606293357,0.0,0.0,0.6254556967067383,0.6254556967067383
48,0.8851681609475465,0.5538543693398477,0.0,0.0,0.8851681609475465,0.8851681609475465
49,0.9797896226922879,0.6254556967067383,0.0,0.0,0.9797896226922879,0.9797896226922879
50,0.9974960876234682,0.840900311261126,0.0,0.0,0.9974960876234682,0.9974960876234682
51,1.0,0.49188005472224694,0.0,0.0,1.0,1.0
52,0.9557321503135794,0.13504221636016558,0.0,0.0,0.9557321503135794,0.9557321503135794
53,0.5120904320299591,0.022714289684243855,0.04426784968642053,0.0,0.5120904320299591,0.5120904320299591
54,0.18181397842311792,0.002503912376531775,0.4879095679700409,0.0,0.18181397842311792,0.13754612873669736
55,0.5106238576542848,0.04426784968642053,0.8624538712633025,0.0,0.5106238576542848,0.022714289684243855
56,0.8649577836398342,0.4879095679700409,0.9772857103157561,0.0,0.8649577836398342,0.002503912376531775
