sociality,touch_1,target_2,target_3,multi_ag_vs_jointact_1,multi_ag_vs_jointact_2,ToM,people_present
71,1.0,0.0,0.5563582817163796,0.8624538712633025,0.0,0.0,0.8624538712633025,0.9557321503135794
72,1.0,0.0,0.6254556967067383,0.9330178606293357,0.0,0.0,0.9772857103157561,0.5563582817163796
73,1.0,0.0,0.8851681609475465,0.5095865196534273,0.0,0.0,0.9974960876234682,0.6254556967067383
74,1.0,0.0,0.9797896226922879,0.13754612873669736,0.0,0.0,1.0,0.8851681609475465
75,0.9557321503135794,0.0,0.9532282379370476,0.022714289684243855,0.0,0.0,0.9557321503135794,0.9355217730058675
76,0.5120904320299591,0.0,0.5120904320299591,0.002503912376531775,0.0,0.0,0.5120904320299591,0.5095865196534273
77,0.13754612873669736,0.0,0.13754612873669736,0.0,0.0,0.0,0.13754612873669736,0.13754612873669736
78,0.022714289684243855,0.0,0.022714289684243855,0.0,0.0,0.0,0.022714289684243855,0.022714289684243855
79,0.002503912376531775,0.0,0.002503912376531775,0.0,0.0,0.0,0.002503912376531775,0.046771762062952305
80,0.04426784968642053,0.0,0.0,0.0,0.0,0.0,0.0,0.4436417182836204
81,0.4879095679700409,0.0,0.0,0.0,0.0,0.0,0.0,0.4188121529796822
82,0.8181860215768821,0.0,0.0,0.0,0.0,0.0,0.0,0.6027414070224943
83,0.5336439920321357,0.0,0.0,0.0,0.0,0.0,0.0,0.8826642485710147
84,0.6229517843302065,0.0,0.0,0.04426784968642053,0.0,0.0,0.0,0.9355217730058675
85,0.8851681609475465,0.0,0.0,0.4879095679700409,0.0,0.0,0.0,0.5538543693398477
86,0.9797896226922879,0.0,0.0,0.8181860215768821,0.0,0.0,0.0,0.6254556967067383
87,0.9974960876234682,0.0,0.0,0.4893761423457152,0.0,0.0,0.0,0.8851681609475465
88,1.0,0.0,0.0,0.17931006604658611,0.0,0.0,0.0,0.9797896226922879
89,1.0,0.0,0.0,0.5106238576542848,0.0,0.0,0.0,0.9532282379370476
90,1.0,0.0,0.0,0.8649577836398342,0.0,0.0,0.0,0.5120904320299591
91,1.0,0.0,0.0,0.9772857103157561,0.0,0.0,0.0,0.13754612873669736
92,1.0,0.0,0.0,0.9974960876234682,0.0,0.0,0.0,0.022714289684243855
93,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.046771762062952305
94,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4436417182836204
95,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.37454430329326166
96,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11483183905245352
97,1.0,0.04426784968642053,0.0,1.0,0.0,0.0,0.0,0.020210377307712083
98,1.0,0.4879095679700409,0.04426784968642053,1.0,0.0,0.0,0.0,0.002503912376531775
99,1.0,0.8624538712633025,0.4879095679700409,1.0,0.0,0.0,0.0,0.0
100,1.0,0.9772857103157561,0.8181860215768821,1.0,0.0,0.0,0.0,0.0
101,1.0,0.9532282379370476,0.5336439920321357,1.0,0.0,0.0,0.0,0.0
102,1.0,0.5120904320299591,0.6229517843302065,0.9557321503135794,0.0,0.0,0.0,0.0
103,1.0,0.13754612873669736,0.8851681609475465,0.5563582817163796,0.0,0.0,0.04426784968642053,0.0
104,1.0,0.022714289684243855,0.9355217730058675,0.6254556967067383,0.0,0.0,0.4879095679700409,0.04426784968642053
105,1.0,0.002503912376531775,0.5095865196534273,0.8851681609475465,0.0,0.0,0.8181860215768821,0.4879095679700409
106,1.0,0.0,0.13754612873669736,0.9797896226922879,0.0,0.0,0.4893761423457152,0.8624538712633025
107,1.0,0.0,0.022714289684243855,0.9974960876234682,0.0,0.0,0.13504221636016558,0.9772857103157561
108,1.0,0.0,0.002503912376531775,1.0,0.0,0.0,0.022714289684243855,0.9974960876234682
109,1.0,0.0,0.0,1.0,0.0,0.0,0.002503912376531775,1.0
110,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
112,1.0,0.0,0.0,0.9557321503135794,0.0,0.0,0.0,1.0
113,0.9557321503135794,0.0,0.0,0.5120904320299591,0.0,0.0,0.0,1.0
114,0.5120904320299591,0.0,0.0,0.13754612873669736,0.0,0.0,0.0,1.0
115,0.13754612873669736,0.0,0.0,0.022714289684243855,0.0,0.0,0.0,1.0
116,0.022714289684243855,0.0,0.0,0.002503912376531775,0.0,0.0,0.0,0.9557321503135794
117,0.002503912376531775,0.0,0.0,0.0,0.0,0.0,0.0,0.5563582817163796
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6254556967067383
119,0.04426784968642053,0.0,0.04426784968642053,0.0,0.0,0.0,0.0,0.8851681609475465
120,0.4879095679700409,0.0,0.4879095679700409,0.0,0.0,0.0,0.0,0.9355217730058675
121,0.8181860215768821,0.0,0.8181860215768821,0.0,0.0,0.0,0.0,0.5095865196534273
122,0.4893761423457152,0.0,0.4893761423457152,0.0,0.0,0.0,0.0,0.13754612873669736
123,0.13504221636016558,0.0,0.13504221636016558,0.0,0.0,0.0,0.0,0.022714289684243855
124,0.022714289684243855,0.0,0.022714289684243855,0.0,0.0,0.0,0.0,0.002503912376531775
125,0.002503912376531775,0.0,0.002503912376531775,0.0,0.0,0.0,0.0,0.04426784968642053
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4879095679700409
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8624538712633025
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772857103157561
129,0.04426784968642053,0.0,0.0,0.0,0.0,0.0,0.0,0.9532282379370476
130,0.4879095679700409,0.0,0.04426784968642053,0.0,0.0,0.0,0.04426784968642053,0.5120904320299591
131,0.8624538712633025,0.0,0.4879095679700409,0.0,0.0,0.0,0.4879095679700409,0.13754612873669736
132,0.9772857103157561,0.0,0.8624538712633025,0.0,0.0,0.0,0.8624538712633025,0.022714289684243855
133,0.9974960876234682,0.0,0.9772857103157561,0.0,0.0,0.0,0.9772857103157561,0.002503912376531775
134,1.0,0.0,0.9974960876234682,0.0,0.0,0.0,0.9532282379370476,0.04426784968642053
135,1.0,0.0,1.0,0.0,0.0,0.0,0.5120904320299591,0.4879095679700409
136,0.9557321503135794,0.0,0.9557321503135794,0.0,0.0,0.0,0.13754612873669736,0.8624538712633025
137,0.5120904320299591,0.0,0.5120904320299591,0.0,0.0,0.0,0.022714289684243855,0.9772857103157561
138,0.13754612873669736,0.0,0.13754612873669736,0.0,0.0,0.0,0.002503912376531775,0.9974960876234682
139,0.022714289684243855,0.0,0.022714289684243855,0.0,0.0,0.0,0.0,1.0
140,0.002503912376531775,0.0,0.002503912376531775,0.0,0.0,0.0,0.0,1.0
141,0.0,0.0,0.04426784968642053,0.0,0.0,0.0,0.0,0.9557321503135794
142,0.0,0.0,0.4879095679700409,0.0,0.0,0.0,0.0,0.5120904320299591
143,0.0,0.0,0.8181860215768821,0.0,0.0,0.0,0.0,0.13754612873669736
144,0.04426784968642053,0.0,0.4893761423457152,0.0,0.0,0.0,0.0,0.022714289684243855
145,0.4879095679700409,0.0,0.17931006604658611,0.0,0.0,0.0,0.0,0.002503912376531775
146,0.8624538712633025,0.0,0.5106238576542848,0.0,0.0,0.0,0.0,0.0
147,0.9772857103157561,0.0,0.8649577836398342,0.0,0.0,0.0,0.0,0.0
148,0.9532282379370476,0.0,0.9330178606293357,0.0,0.0,0.0,0.0,0.0
149,0.5120904320299591,0.0,0.5095865196534273,0.0,0.0,0.0,0.0,0.0
150,0.13754612873669736,0.0,0.13754612873669736,0.0,0.0,0.0,0.0,0.0
151,0.022714289684243855,0.0,0.022714289684243855,0.0,0.0,0.0,0.0,0.0
152,0.002503912376531775,0.0,0.002503912376531775,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.04426784968642053,0.0,0.04426784968642053,0.0,0.0,0.0,0.0,0.0
155,0.4879095679700409,0.0,0.4879095679700409,0.0,0.0,0.0,0.0,0.0
156,0.8624538712633025,0.0,0.8624538712633025,0.0,0.0,0.0,0.0,0.0
157,0.9772857103157561,0.0,0.9772857103157561,0.0,0.0,0.0,0.0,0.0
158,0.9974960876234682,0.0,0.9974960876234682,0.0,0.0,0.0,0.0,0.0
159,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
161,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
162,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
165,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
166,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04426784968642053
167,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4879095679700409
168,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8624538712633025
169,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9772857103157561
170,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9974960876234682
171,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
172,1.0,0.0,1.0,0.0,0.0,0.0,0.04426784968642053,1.0
173,1.0,0.0,1.0,0.0,0.0,0.0,0.4879095679700409,1.0
174,1.0,0.0,1.0,0.0,0.0,0.0,0.8624538712633025,1.0
175,1.0,0.0,1.0,0.0,0.0,0.0,0.9772857103157561,1.0
176,1.0,0.0,1.0,0.0,0.0,0.0,0.9532282379370476,1.0
177,1.0,0.0,1.0,0.0,0.0,0.0,0.5120904320299591,1.0
178,1.0,0.0,1.0,0.0,0.0,0.0,0.13754612873669736,0.9557321503135794
179,1.0,0.0,1.0,0.0,0.0,0.0,0.022714289684243855,0.5120904320299591
180,1.0,0.0,1.0,0.0,0.0,0.0,0.002503912376531775,0.13754612873669736
181,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022714289684243855
182,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.002503912376531775
183,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04426784968642053
184,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4879095679700409
185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8624538712633025
186,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9772857103157561
187,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9974960876234682
188,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
189,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
190,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
191,0.9557321503135794,0.0,0.9557321503135794,0.0,0.0,0.0,0.0,1.0
192,0.5563582817163796,0.0,0.5563582817163796,0.0,0.0,0.0,0.0,0.9557321503135794
193,0.6254556967067383,0.0,0.6254556967067383,0.0,0.0,0.0,0.0,0.5120904320299591
194,0.8851681609475465,0.0,0.8851681609475465,0.0,0.0,0.0,0.0,0.13754612873669736
195,0.9797896226922879,0.0,0.9797896226922879,0.0,0.0,0.0,0.0,0.022714289684243855
196,0.9974960876234682,0.0,0.9974960876234682,0.0,0.0,0.0,0.0,0.002503912376531775
197,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
198,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
199,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
201,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
203,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
204,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
205,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
206,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
207,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
208,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
209,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
210,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
211,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
212,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
213,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
214,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
215,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
216,1.0,0.0,1.0,0.0,0.0,0.0,0.04426784968642053,0.0
217,1.0,0.0,1.0,0.0,0.0,0.0,0.4436417182836204,0.0
218,1.0,0.0,1.0,0.0,0.0,0.0,0.37454430329326166,0.0
219,1.0,0.0,1.0,0.0,0.0,0.0,0.11483183905245352,0.0
220,1.0,0.0,1.0,0.0,0.0,0.0,0.020210377307712083,0.0
221,1.0,0.0,1.0,0.0,0.0,0.0,0.002503912376531775,0.0
222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
224,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
225,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
226,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
227,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
228,0.9557321503135794,0.0,0.9557321503135794,0.0,0.0,0.0,0.0,0.0
229,0.5563582817163796,0.0,0.5563582817163796,0.0,0.0,0.0,0.0,0.0
230,0.5811878470203178,0.0,0.5811878470203178,0.0,0.0,0.0,0.0,0.0
231,0.44152644266392604,0.0,0.44152644266392604,0.0,0.0,0.0,0.0,0.0
232,0.6052453193990261,0.0,0.6052453193990261,0.0,0.0,0.0,0.0,0.0
233,0.8826642485710147,0.0,0.8826642485710147,0.0,0.0,0.0,0.0,0.0
234,0.9797896226922879,0.0,0.9797896226922879,0.0,0.0,0.04426784968642053,0.0,0.04426784968642053
235,0.9974960876234682,0.0,0.9974960876234682,0.0,0.0,0.4436417182836204,0.0,0.4879095679700409
236,1.0,0.0,1.0,0.0,0.0,0.4188121529796822,0.0,0.8624538712633025
237,1.0,0.0,1.0,0.0,0.0,0.5584735573360738,0.0,0.9330178606293357
238,0.9557321503135794,0.0,0.9557321503135794,0.0,0.0,0.39475468060097374,0.0,0.5095865196534273
239,0.5563582817163796,0.0,0.5563582817163796,0.0,0.0,0.11733575142898528,0.0,0.13754612873669736
240,0.6254556967067383,0.0,0.6254556967067383,0.0,0.0,0.020210377307712083,0.0,0.022714289684243855
241,0.8851681609475465,0.0,0.8851681609475465,0.0,0.0,0.002503912376531775,0.0,0.002503912376531775
242,0.9797896226922879,0.0,0.9797896226922879,0.0,0.0,0.0,0.0,0.0
243,0.9974960876234682,0.0,0.9974960876234682,0.0,0.0,0.0,0.0,0.04426784968642053
244,0.9557321503135794,0.0,0.9557321503135794,0.0,0.0,0.0,0.0,0.4879095679700409
245,0.5563582817163796,0.0,0.5563582817163796,0.0,0.0,0.0,0.0,0.8624538712633025
246,0.6254556967067383,0.0,0.6254556967067383,0.0,0.0,0.0,0.0,0.9772857103157561
247,0.8851681609475465,0.0,0.8851681609475465,0.0,0.0,0.0,0.0,0.9974960876234682
248,0.9797896226922879,0.0,0.9797896226922879,0.0,0.0,0.0,0.0,1.0
249,0.9974960876234682,0.0,0.9974960876234682,0.0,0.0,0.0,0.0,0.9557321503135794
250,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5120904320299591
251,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13754612873669736
252,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698213937066438
253,1.0,0.0,1.0,0.0,0.0,0.04426784968642053,0.0,0.4904134803465727
254,1.0,0.0,1.0,0.0,0.0,0.4879095679700409,0.0,0.8624538712633025
255,1.0,0.0,1.0,0.0,0.0,0.8624538712633025,0.0,0.9772857103157561
256,1.0,0.0,0.9557321503135794,0.0,0.0,0.9330178606293357,0.0,0.9532282379370476
257,1.0,0.0,0.5563582817163796,0.0,0.0,0.5095865196534273,0.0,0.5120904320299591
258,1.0,0.0,0.6254556967067383,0.0,0.0,0.13754612873669736,0.0,0.13754612873669736
259,1.0,0.0,0.8851681609475465,0.0,0.0,0.022714289684243855,0.0,0.022714289684243855
260,1.0,0.0,0.9797896226922879,0.0,0.0,0.002503912376531775,0.04426784968642053,0.002503912376531775
261,1.0,0.0,0.9974960876234682,0.0,0.0,0.0,0.4436417182836204,0.0
262,1.0,0.0,1.0,0.0,0.0,0.0,0.37454430329326166,0.0
263,1.0,0.0,1.0,0.0,0.0,0.0,0.11483183905245352,0.0
264,1.0,0.0,1.0,0.0,0.0,0.0,0.020210377307712083,0.0
265,1.0,0.0,1.0,0.0,0.0,0.0,0.002503912376531775,0.0
266,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
267,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
268,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
269,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
270,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
271,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
272,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
273,0.9557321503135794,0.0,0.9557321503135794,0.0,0.0,0.0,0.0,0.0
274,0.5563582817163796,0.0,0.5120904320299591,0.04426784968642053,0.0,0.04426784968642053,0.0,0.04426784968642053
275,0.6254556967067383,0.0,0.13754612873669736,0.4879095679700409,0.0,0.4879095679700409,0.0,0.4879095679700409
276,0.8851681609475465,0.0,0.022714289684243855,0.8624538712633025,0.0,0.8624538712633025,0.0,0.8624538712633025
277,0.9797896226922879,0.0,0.002503912376531775,0.9772857103157561,0.0,0.9772857103157561,0.0,0.9772857103157561
278,0.9974960876234682,0.0,0.0,0.9974960876234682,0.0,0.9974960876234682,0.0,0.9974960876234682
279,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
280,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
281,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
282,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
283,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
284,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
285,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
286,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
287,1.0,0.0,0.0,0.9557321503135794,0.0,0.9557321503135794,0.0,1.0
288,1.0,0.0,0.0,0.5120904320299591,0.0,0.5563582817163796,0.0,1.0
289,1.0,0.0,0.0,0.13754612873669736,0.0,0.6254556967067383,0.0,1.0
290,1.0,0.0,0.0,0.06698213937066438,0.0,0.8851681609475465,0.0,1.0
291,1.0,0.0,0.0,0.4904134803465727,0.0,0.9797896226922879,0.0,1.0
292,1.0,0.0,0.0,0.8181860215768821,0.0,0.9974960876234682,0.0,1.0
293,1.0,0.0,0.0,0.4893761423457152,0.0,1.0,0.0,1.0
294,1.0,0.0,0.0,0.13504221636016558,0.0,1.0,0.0,1.0
295,1.0,0.0,0.0,0.022714289684243855,0.0,1.0,0.0,1.0
296,1.0,0.0,0.0,0.046771762062952305,0.0,0.9557321503135794,0.0,1.0
297,1.0,0.0,0.0,0.4879095679700409,0.0,0.5120904320299591,0.0,1.0
298,1.0,0.04426784968642053,0.04426784968642053,0.8624538712633025,0.0,0.13754612873669736,0.0,1.0
299,1.0,0.4879095679700409,0.4879095679700409,0.9772857103157561,0.0,0.022714289684243855,0.0,1.0
300,1.0,0.8181860215768821,0.8181860215768821,0.9532282379370476,0.0,0.002503912376531775,0.0,1.0
301,1.0,0.4893761423457152,0.4893761423457152,0.5120904320299591,0.0,0.0,0.0,1.0
302,1.0,0.13504221636016558,0.13504221636016558,0.13754612873669736,0.0,0.0,0.0,1.0
303,1.0,0.022714289684243855,0.022714289684243855,0.022714289684243855,0.0,0.0,0.0,1.0
