sociality,touch_1,multi_ag_vs_jointact_1,multi_ag_vs_jointact_2,ToM,people_present
83,0.5336439920321356,0.0,0.0,0.0,0.0,0.8826642485710148
84,0.6229517843302066,0.0,0.0,0.0,0.0,0.9355217730058675
85,0.8851681609475466,0.0,0.0,0.0,0.0,0.5538543693398478
86,0.979789622692288,0.0,0.0,0.0,0.0,0.6254556967067384
87,0.9974960876234682,0.0,0.0,0.0,0.0,0.8851681609475466
88,1.0,0.0,0.0,0.0,0.0,0.979789622692288
89,1.0,0.0,0.0,0.0,0.0,0.9532282379370476
90,1.0,0.0,0.0,0.0,0.0,0.5120904320299591
91,1.0,0.0,0.0,0.0,0.0,0.13754612873669733
92,1.0,0.0,0.0,0.0,0.0,0.02271428968424385
93,1.0,0.0,0.0,0.0,0.0,0.04677176206295231
94,1.0,0.0,0.0,0.0,0.0,0.4436417182836204
95,1.0,0.0,0.0,0.0,0.0,0.37454430329326166
96,1.0,0.0,0.0,0.0,0.0,0.1148318390524535
97,1.0,0.044267849686420536,0.0,0.0,0.0,0.02021037730771208
98,1.0,0.4879095679700409,0.0,0.0,0.0,0.002503912376531775
99,1.0,0.8624538712633025,0.0,0.0,0.0,0.0
100,1.0,0.9772857103157562,0.0,0.0,0.0,0.0
101,1.0,0.9532282379370476,0.0,0.0,0.0,0.0
102,1.0,0.5120904320299591,0.0,0.0,0.0,0.0
103,1.0,0.13754612873669733,0.0,0.0,0.044267849686420536,0.0
104,1.0,0.02271428968424385,0.0,0.0,0.4879095679700409,0.044267849686420536
105,1.0,0.002503912376531775,0.0,0.0,0.8181860215768821,0.4879095679700409
106,1.0,0.0,0.0,0.0,0.48937614234571514,0.8624538712633025
107,1.0,0.0,0.0,0.0,0.13504221636016558,0.9772857103157562
108,1.0,0.0,0.0,0.0,0.02271428968424385,0.9974960876234682
109,1.0,0.0,0.0,0.0,0.002503912376531775,1.0
110,1.0,0.0,0.0,0.0,0.0,1.0
111,1.0,0.0,0.0,0.0,0.0,1.0
112,1.0,0.0,0.0,0.0,0.0,1.0
113,0.9557321503135794,0.0,0.0,0.0,0.0,1.0
114,0.5120904320299591,0.0,0.0,0.0,0.0,1.0
115,0.13754612873669733,0.0,0.0,0.0,0.0,1.0
116,0.02271428968424385,0.0,0.0,0.0,0.0,0.9557321503135794
117,0.002503912376531775,0.0,0.0,0.0,0.0,0.5563582817163797
118,0.0,0.0,0.0,0.0,0.0,0.6254556967067384
119,0.044267849686420536,0.0,0.0,0.0,0.0,0.8851681609475466
120,0.4879095679700409,0.0,0.0,0.0,0.0,0.9355217730058675
121,0.8181860215768821,0.0,0.0,0.0,0.0,0.5095865196534273
122,0.48937614234571514,0.0,0.0,0.0,0.0,0.13754612873669733
123,0.13504221636016558,0.0,0.0,0.0,0.0,0.02271428968424385
124,0.02271428968424385,0.0,0.0,0.0,0.0,0.002503912376531775
125,0.002503912376531775,0.0,0.0,0.0,0.0,0.044267849686420536
126,0.0,0.0,0.0,0.0,0.0,0.4879095679700409
127,0.0,0.0,0.0,0.0,0.0,0.8624538712633025
128,0.0,0.0,0.0,0.0,0.0,0.9772857103157562
129,0.044267849686420536,0.0,0.0,0.0,0.0,0.9532282379370476
130,0.4879095679700409,0.0,0.0,0.0,0.044267849686420536,0.5120904320299591
