durativity,telicity,iterativity,dinamicity
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.04426784968642053,0.0,0.04426784968642053,0.04426784968642053
7,0.4879095679700409,0.0,0.4879095679700409,0.4879095679700409
8,0.8624538712633025,0.04426784968642053,0.8624538712633025,0.8624538712633025
9,0.9330178606293357,0.4879095679700409,0.9330178606293357,0.9772857103157561
10,0.5095865196534273,0.8624538712633025,0.5095865196534273,0.9974960876234682
11,0.18181397842311792,0.9772857103157561,0.18181397842311792,1.0
12,0.5106238576542848,0.9532282379370476,0.5106238576542848,1.0
13,0.8649577836398342,0.5120904320299591,0.8649577836398342,1.0
14,0.9330178606293357,0.13754612873669736,0.9330178606293357,0.9557321503135794
15,0.5095865196534273,0.022714289684243855,0.5095865196534273,0.5120904320299591
16,0.13754612873669736,0.002503912376531775,0.13754612873669736,0.13754612873669736
17,0.06698213937066438,0.0,0.06698213937066438,0.06698213937066438
18,0.4904134803465727,0.0,0.4904134803465727,0.4904134803465727
19,0.8624538712633025,0.04426784968642053,0.8624538712633025,0.8624538712633025
20,0.9772857103157561,0.4879095679700409,0.9330178606293357,0.9772857103157561
21,0.9532282379370476,0.8624538712633025,0.5095865196534273,0.9974960876234682
22,0.5120904320299591,0.9772857103157561,0.13754612873669736,1.0
23,0.13754612873669736,0.9974960876234682,0.022714289684243855,1.0
24,0.022714289684243855,1.0,0.002503912376531775,1.0
25,0.046771762062952305,1.0,0.04426784968642053,1.0
26,0.4879095679700409,1.0,0.4436417182836204,1.0
27,0.8624538712633025,1.0,0.37454430329326166,1.0
28,0.9772857103157561,1.0,0.11483183905245352,1.0
29,0.9974960876234682,1.0,0.020210377307712083,1.0
30,1.0,0.9557321503135794,0.046771762062952305,1.0
31,1.0,0.5120904320299591,0.4879095679700409,1.0
32,1.0,0.13754612873669736,0.8624538712633025,1.0
33,1.0,0.022714289684243855,0.9772857103157561,1.0
34,1.0,0.002503912376531775,0.9974960876234682,1.0
35,0.9557321503135794,0.04426784968642053,0.9557321503135794,1.0
36,0.5120904320299591,0.4879095679700409,0.5120904320299591,1.0
37,0.13754612873669736,0.8624538712633025,0.13754612873669736,1.0
38,0.022714289684243855,0.9330178606293357,0.022714289684243855,0.9557321503135794
39,0.046771762062952305,0.5095865196534273,0.046771762062952305,0.5563582817163796
40,0.4879095679700409,0.13754612873669736,0.4879095679700409,0.6254556967067383
41,0.8624538712633025,0.06698213937066438,0.8624538712633025,0.8851681609475465
42,0.9330178606293357,0.4904134803465727,0.9330178606293357,0.9797896226922879
43,0.5095865196534273,0.8624538712633025,0.5095865196534273,0.9974960876234682
