durativity,telicity,iterativity,predictability
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.044267849686420536,0.0,0.044267849686420536,0.0
7,0.4879095679700409,0.044267849686420536,0.4879095679700409,0.044267849686420536
8,0.8624538712633025,0.4879095679700409,0.8624538712633025,0.4879095679700409
9,0.9330178606293357,0.8624538712633025,0.9330178606293357,0.8624538712633025
10,0.5095865196534273,0.9772857103157562,0.5095865196534273,0.9772857103157562
11,0.1818139784231179,0.9974960876234682,0.1818139784231179,0.9974960876234682
12,0.5106238576542848,0.9557321503135794,0.5106238576542848,1.0
13,0.8649577836398343,0.5120904320299591,0.8649577836398343,1.0
14,0.9330178606293357,0.13754612873669733,0.9330178606293357,0.9557321503135794
15,0.5095865196534273,0.02271428968424385,0.5095865196534273,0.5120904320299591
16,0.13754612873669733,0.002503912376531775,0.13754612873669733,0.13754612873669733
17,0.06698213937066438,0.0,0.06698213937066438,0.02271428968424385
18,0.4904134803465727,0.0,0.4904134803465727,0.002503912376531775
19,0.8624538712633025,0.044267849686420536,0.8624538712633025,0.044267849686420536
20,0.9772857103157562,0.4879095679700409,0.9330178606293357,0.4879095679700409
21,0.9532282379370476,0.8624538712633025,0.5095865196534273,0.8624538712633025
22,0.5120904320299591,0.9772857103157562,0.13754612873669733,0.9330178606293357
23,0.13754612873669733,0.9974960876234682,0.02271428968424385,0.5095865196534273
24,0.02271428968424385,1.0,0.002503912376531775,0.1818139784231179
25,0.04677176206295231,1.0,0.044267849686420536,0.5106238576542848
26,0.4879095679700409,1.0,0.4436417182836204,0.8206899339534138
27,0.8624538712633025,1.0,0.37454430329326166,0.5336439920321356
28,0.9772857103157562,1.0,0.1148318390524535,0.6229517843302066
29,0.9974960876234682,1.0,0.02021037730771208,0.8851681609475466
30,1.0,0.9557321503135794,0.04677176206295231,0.979789622692288
31,1.0,0.5120904320299591,0.4879095679700409,0.9974960876234682
32,1.0,0.13754612873669733,0.8624538712633025,1.0
33,1.0,0.02271428968424385,0.9772857103157562,1.0
34,1.0,0.04677176206295231,0.9974960876234682,1.0
35,0.9557321503135794,0.4879095679700409,0.9557321503135794,1.0
36,0.5120904320299591,0.8624538712633025,0.5120904320299591,0.9557321503135794
37,0.13754612873669733,0.9772857103157562,0.13754612873669733,0.5120904320299591
38,0.02271428968424385,0.9532282379370476,0.02271428968424385,0.13754612873669733
39,0.04677176206295231,0.5120904320299591,0.04677176206295231,0.06698213937066438
40,0.4879095679700409,0.1818139784231179,0.4879095679700409,0.4904134803465727
41,0.8624538712633025,0.5106238576542848,0.8624538712633025,0.8624538712633025
