,act,context,onset,offset,inter_scale,target,predictability,agent_H_NH,main_effector,eff_visibility,act_label,obj_label,run,sociality,dinamicity,durativity,telicity,iterativity,transitivity,multi_ag_vs_jointact,tool_mediated,faces,ToM,touch,EBL,EIA,gesticolare,simbolic_gestures,people_present,rater
348,act_349,1,05:54.0,05:55.1,0,2,0,0,6,1,abbaiare,donna,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LT
349,act_350,1,05:55.1,05:58.2,1,0,0,1,10,1,andare,bicicletta,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,LT
350,act_351,1,05:57.6,06:01.0,0,3,0,1,6,1,parlare,cane,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,LT
351,act_352,1,06:01.5,06:02.5,0,1,0,0,7,1,fissare,,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,LT
352,act_353,1,06:02.7,06:08.4,1,0,0,1,10,1,andare,bicicletta,2,0,1,1,0,0,1,2,0,1,0,2,0,0,0,0,1,LT
353,act_354,1,06:02.7,06:08.4,1,4,0,0,5,1,correre ,,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,LT
354,act_355,1,06:05.0,06:06.7,0,1,0,1,7,1,voltarsi ,,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,LT
355,act_356,1,06:08.9,06:09.1,0,3,0,1,6,1,parlare,cane,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LT
356,act_357,1,06:10.5,06:12.4,1,0,1,1,5,1,attraversare,strada,2,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,1,LT
357,act_358,1,06:13.1,06:13.3,0,2,0,1,6,0,urlare,uomo,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,LT
358,act_359,1,06:13.6,06:14.6,0,2,0,1,6,0,scusarsi ,uomo,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,LT
359,act_360,1,06:13.7,06:15.4,1,4,0,1,5,1,passeggiare,,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,LT
360,act_361,1,06:15.4,06:19.8,1,2,1,1,3,1,dirigere,banda,2,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,LT
361,act_362,1,06:15.4,06:18.6,1,0,0,1,5,1,girare,palco,2,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,1,LT
362,act_363,1,06:20.4,06:22.7,0,0,0,1,5,1,suonare ,flauto ,2,0,1,1,0,0,1,2,1,1,0,2,0,0,0,0,1,LT
363,act_364,1,06:18.6,06:22.6,1,0,0,1,5,1,girare,palco,2,0,1,1,0,0,0,2,0,1,0,2,0,1,0,0,1,LT
364,act_365,1,06:22.8,06:25.7,1,4,0,0,5,1,correre ,,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,LT
365,act_366,1,06:24.0,06:24.5,0,2,0,0,6,1,abbaiare,uomo,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,LT
366,act_367,1,06:25.9,06:33.8,1,0,0,1,10,1,andare,bicicletta,2,0,1,1,0,0,1,2,0,1,0,2,0,1,0,0,1,LT
367,act_368,1,06:25.9,06:28.3,1,4,0,0,5,1,correre ,,2,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,1,LT
368,act_369,1,06:28.4,06:31.2,0,2,0,1,7,1,cercare ,uomo,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,LT
369,act_370,1,06:31.2,06:33.8,1,4,0,0,5,1,correre ,,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,LT
370,act_371,1,06:35.4,06:36.3,0,2,0,0,6,1,abbaiare,uomo,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,LT
371,act_372,1,06:33.9,06:47.0,1,0,0,1,10,1,andare,bicicletta,2,0,1,1,0,0,1,2,0,1,0,2,0,0,0,0,1,LT
